"lon","lat","depth"
-88.099167,48.993333,0.071698
-88.26,48.9925,-0.231998
-88.2575,48.9925,0.268002
-88.254167,48.9925,-0.1319
-88.253333,48.9925,0.168088
-88.12,48.9925,-0.028796
-88.099167,48.9925,-0.128299
-88.098333,48.9925,0.171689
-88.033333,48.9925,0.273206
-88.026667,48.9925,0.273404
-88.256667,48.991667,-0.032001
-88.253333,48.991667,-0.231906
-88.2525,48.991667,-0.1319
-88.251667,48.991667,-0.231799
-88.250833,48.991667,-0.231799
-88.248333,48.991667,-0.231799
-88.120833,48.991667,-0.028796
-88.098333,48.991667,-0.128299
-88.0975,48.991667,0.171689
-88.034167,48.991667,0.273206
-88.256667,48.990833,0.167996
-88.255833,48.990833,-0.1319
-88.248333,48.990833,-0.231799
-88.121667,48.990833,-0.028796
-88.0975,48.990833,-0.128299
-88.096667,48.990833,0.171689
-88.035,48.990833,0.273206
-88.255833,48.99,-0.031909
-88.249167,48.99,-0.231799
-88.123333,48.99,0.2711
-88.1225,48.99,-0.128894
-88.096667,48.99,-0.128192
-88.095833,48.99,0.071805
-88.095,48.99,0.271802
-88.035833,48.99,0.273206
-88.255833,48.989167,0.168088
-88.255,48.989167,-0.1319
-88.249167,48.989167,-0.231799
-88.135,48.989167,-0.229099
-88.134167,48.989167,-0.229099
-88.125,48.989167,0.2711
-88.124167,48.989167,0.071103
-88.123333,48.989167,-0.2289
-88.095,48.989167,-0.128192
-88.094167,48.989167,0.071805
-88.093333,48.989167,0.271802
-88.036667,48.989167,0.273206
-88.255,48.988333,0.068097
-88.254167,48.988333,-0.231906
-88.249167,48.988333,-0.231799
-88.135,48.988333,-0.229099
-88.134167,48.988333,-0.229099
-88.1275,48.988333,0.2711
-88.126667,48.988333,0.171094
-88.125833,48.988333,-0.028903
-88.125,48.988333,-0.2289
-88.094167,48.988333,-0.228198
-88.093333,48.988333,-0.128192
-88.0925,48.988333,0.071896
-88.091667,48.988333,0.171887
-88.090833,48.988333,0.271893
-88.0375,48.988333,0.273206
-88.261667,48.9875,-0.231998
-88.254167,48.9875,0.168088
-88.253333,48.9875,-0.031802
-88.2525,48.9875,-0.231799
-88.250833,48.9875,-0.231799
-88.25,48.9875,0.068204
-88.249167,48.9875,-0.231708
-88.135,48.9875,-0.229099
-88.134167,48.9875,-0.229099
-88.133333,48.9875,0.270902
-88.1325,48.9875,0.070905
-88.131667,48.9875,-0.02901
-88.130833,48.9875,-0.02901
-88.13,48.9875,-0.129001
-88.129167,48.9875,-0.129001
-88.128333,48.9875,-0.129001
-88.1275,48.9875,-0.2289
-88.091667,48.9875,-0.128101
-88.090833,48.9875,-0.02811
-88.09,48.9875,0.171887
-88.089167,48.9875,0.272
-88.038333,48.9875,0.073209
-88.023333,48.9875,-0.226505
-88.2525,48.986667,0.168195
-88.251667,48.986667,0.068204
-88.250833,48.986667,0.068204
-88.134167,48.986667,-0.229099
-88.133333,48.986667,0.270902
-88.1325,48.986667,-0.02901
-88.131667,48.986667,-0.229007
-88.09,48.986667,-0.228107
-88.089167,48.986667,-0.028003
-88.088333,48.986667,0.171994
-88.04,48.986667,0.173093
-88.039167,48.986667,-0.126895
-88.023333,48.986667,-0.226505
-88.134167,48.985833,-0.229099
-88.1325,48.985833,-0.129001
-88.088333,48.985833,-0.127994
-88.0875,48.985833,0.072003
-88.041667,48.985833,0.173093
-88.040833,48.985833,-0.226901
-88.134167,48.985,-0.229099
-88.133333,48.985,-0.229007
-88.1325,48.985,-0.229007
-88.0875,48.985,-0.228
-88.086667,48.985,0.072003
-88.044167,48.985,0.273007
-88.043333,48.985,-0.126895
-88.144167,48.984167,-0.229297
-88.143333,48.984167,-0.229297
-88.1425,48.984167,-0.229297
-88.141667,48.984167,-0.229205
-88.133333,48.984167,-0.02901
-88.085833,48.984167,0.07211
-88.045833,48.984167,-0.026996
-88.144167,48.983333,-0.229297
-88.143333,48.983333,-0.229297
-88.1425,48.983333,-0.229205
-88.141667,48.983333,-0.229205
-88.1375,48.983333,-0.229099
-88.134167,48.983333,-0.029102
-88.085,48.983333,-0.027896
-88.048333,48.983333,0.07301
-88.1475,48.9825,-0.229404
-88.146667,48.9825,-0.229297
-88.145833,48.9825,-0.229297
